SN,Commodity,Date,Unit,Minimum,Maximum,Average
0,Tomato Big(Nepali),2013-06-16,Kg,35.0,40.0,37.5
1,Tomato Small(Local),2013-06-16,Kg,26.0,32.0,29.0
74,Tomato Big(Nepali),2013-06-17,Kg,25.0,30.0,27.5
75,Tomato Small(Local),2013-06-17,Kg,20.0,25.0,22.5
147,Tomato Big(Nepali),2013-06-18,Kg,25.0,30.0,27.5
148,Tomato Small(Local),2013-06-18,Kg,22.0,26.0,24.0
220,Tomato Big(Nepali),2013-06-19,Kg,25.0,30.0,27.5
221,Tomato Small(Local),2013-06-19,Kg,24.0,28.0,26.0
293,Tomato Big(Nepali),2013-06-20,Kg,25.0,30.0,27.5
294,Tomato Small(Local),2013-06-20,Kg,22.0,26.0,24.0
367,Tomato Big(Nepali),2013-06-21,Kg,25.0,30.0,27.5
368,Tomato Small(Local),2013-06-21,Kg,15.0,20.0,17.5
441,Tomato Big(Nepali),2013-06-25,Kg,30.0,35.0,32.5
442,Tomato Small(Local),2013-06-25,Kg,25.0,30.0,27.5
514,Tomato Big(Nepali),2013-06-26,Kg,30.0,35.0,32.5
515,Tomato Small(Local),2013-06-26,Kg,20.0,25.0,22.5
587,Tomato Big(Nepali),2013-06-27,Kg,30.0,35.0,32.5
588,Tomato Small(Local),2013-06-27,Kg,18.0,24.0,21.0
659,Tomato Big(Nepali),2013-06-28,Kg,30.0,35.0,32.5
660,Tomato Small(Local),2013-06-28,Kg,24.0,28.0,26.0
729,Tomato Big(Nepali),2013-06-30,Kg,25.0,30.0,27.5
730,Tomato Small(Local),2013-06-30,Kg,18.0,22.0,20.0
799,Tomato Big(Nepali),2013-07-01,Kg,25.0,30.0,27.5
800,Tomato Small(Local),2013-07-01,Kg,15.0,20.0,17.5
869,Tomato Big(Nepali),2013-07-02,Kg,30.0,35.0,32.5
870,Tomato Small(Local),2013-07-02,Kg,15.0,20.0,17.5
938,Tomato Big(Nepali),2013-07-03,Kg,30.0,35.0,32.5
939,Tomato Small(Local),2013-07-03,Kg,14.0,18.0,16.0
1008,Tomato Big(Nepali),2013-07-04,Kg,30.0,35.0,32.5
1009,Tomato Small(Local),2013-07-04,Kg,14.0,18.0,16.0
1078,Tomato Big(Nepali),2013-07-05,Kg,30.0,35.0,32.5
1079,Tomato Small(Local),2013-07-05,Kg,18.0,24.0,21.0
1147,Tomato Big(Nepali),2013-07-09,Kg,55.0,60.0,57.5
1148,Tomato Small(Local),2013-07-09,Kg,20.0,25.0,22.5
1217,Tomato Big(Nepali),2013-07-10,Kg,55.0,60.0,57.5
1218,Tomato Small(Local),2013-07-10,Kg,30.0,35.0,32.5
1287,Tomato Big(Nepali),2013-07-11,Kg,55.0,60.0,57.5
1288,Tomato Small(Local),2013-07-11,Kg,32.0,38.0,35.0
1356,Tomato Big(Nepali),2013-07-12,Kg,70.0,80.0,75.0
1357,Tomato Small(Local),2013-07-12,Kg,44.0,48.0,46.0
1426,Tomato Big(Nepali),2013-07-14,Kg,75.0,80.0,77.5
1427,Tomato Small(Local),2013-07-14,Kg,50.0,55.0,52.5
1496,Tomato Big(Nepali),2013-07-15,Kg,75.0,80.0,77.5
1497,Tomato Small(Local),2013-07-15,Kg,50.0,55.0,52.5
1564,Tomato Big(Nepali),2013-07-16,Kg,80.0,90.0,85.0
1565,Tomato Small(Local),2013-07-16,Kg,48.0,52.0,50.0
1633,Tomato Big(Nepali),2013-07-17,Kg,80.0,90.0,85.0
1634,Tomato Small(Local),2013-07-17,Kg,46.0,52.0,49.0
1704,Tomato Big(Nepali),2013-07-18,Kg,65.0,70.0,67.5
1705,Tomato Small(Local),2013-07-18,Kg,40.0,45.0,42.5
1775,Tomato Big(Nepali),2013-07-19,Kg,55.0,60.0,57.5
1776,Tomato Small(Local),2013-07-19,Kg,36.0,40.0,38.0
1845,Tomato Big(Nepali),2013-07-21,Kg,50.0,55.0,52.5
1846,Tomato Small(Local),2013-07-21,Kg,28.0,32.0,30.0
1916,Tomato Big(Nepali),2013-07-22,Kg,55.0,60.0,57.5
1917,Tomato Small(Local),2013-07-22,Kg,28.0,32.0,30.0
1987,Tomato Big(Nepali),2013-07-23,Kg,55.0,60.0,57.5
1988,Tomato Small(Local),2013-07-23,Kg,30.0,35.0,32.5
2056,Tomato Big(Nepali),2013-07-24,Kg,50.0,55.0,52.5
2057,Tomato Small(Local),2013-07-24,Kg,32.0,36.0,34.0
2125,Tomato Big(Nepali),2013-07-25,Kg,50.0,55.0,52.5
2126,Tomato Small(Local),2013-07-25,Kg,40.0,45.0,42.5
2195,Tomato Big(Nepali),2013-07-26,Kg,45.0,50.0,47.5
2196,Tomato Small(Local),2013-07-26,Kg,40.0,45.0,42.5
2263,Tomato Big(Nepali),2013-07-28,Kg,40.0,50.0,45.0
2264,Tomato Small(Local),2013-07-28,Kg,40.0,45.0,42.5
2333,Tomato Big(Nepali),2013-07-29,Kg,50.0,55.0,52.5
2334,Tomato Small(Local),2013-07-29,Kg,42.0,46.0,44.0
2401,Tomato Big(Nepali),2013-07-30,Kg,50.0,55.0,52.5
2402,Tomato Small(Local),2013-07-30,Kg,38.0,42.0,40.0
2468,Tomato Big(Nepali),2013-07-31,Kg,40.0,45.0,42.5
2469,Tomato Small(Local),2013-07-31,Kg,35.0,40.0,37.5
2534,Tomato Big(Nepali),2013-08-01,Kg,45.0,55.0,50.0
2535,Tomato Small(Local),2013-08-01,Kg,34.0,38.0,36.0
2601,Tomato Big(Nepali),2013-08-02,Kg,45.0,50.0,47.5
2602,Tomato Small(Local),2013-08-02,Kg,25.0,35.0,30.0
2669,Tomato Big(Nepali),2013-08-04,Kg,40.0,45.0,42.5
2670,Tomato Small(Local),2013-08-04,Kg,25.0,30.0,27.5
2736,Tomato Big(Nepali),2013-08-05,Kg,35.0,40.0,37.5
2737,Tomato Small(Local),2013-08-05,Kg,25.0,30.0,27.5
2802,Tomato Big(Nepali),2013-08-06,Kg,35.0,40.0,37.5
2803,Tomato Small(Local),2013-08-06,Kg,28.0,34.0,31.0
2867,Tomato Big(Nepali),2013-08-07,Kg,34.0,36.0,35.0
2868,Tomato Small(Local),2013-08-07,Kg,25.0,30.0,27.5
2933,Tomato Big(Nepali),2013-08-08,Kg,30.0,35.0,32.5
2934,Tomato Small(Local),2013-08-08,Kg,20.0,25.0,22.5
3001,Tomato Big(Nepali),2013-08-12,Kg,18.0,20.0,19.0
3002,Tomato Small(Local),2013-08-12,Kg,24.0,28.0,26.0
3041,Tomato Big(Nepali),2013-08-13,Kg,30.0,35.0,32.5
3042,Tomato Small(Local),2013-08-13,Kg,25.0,30.0,27.5
3109,Tomato Big(Nepali),2013-08-14,Kg,35.0,40.0,37.5
3110,Tomato Small(Local),2013-08-14,Kg,25.0,30.0,27.5
3179,Tomato Big(Nepali),2013-08-15,Kg,35.0,40.0,37.5
3180,Tomato Small(Local),2013-08-15,Kg,25.0,32.0,28.5
3247,Tomato Big(Nepali),2013-08-16,Kg,55.0,60.0,57.5
3248,Tomato Small(Local),2013-08-16,Kg,35.0,40.0,37.5
3318,Tomato Big(Nepali),2013-08-18,Kg,55.0,60.0,57.5
3319,Tomato Small(Local),2013-08-18,Kg,30.0,35.0,32.5
3389,Tomato Big(Nepali),2013-08-19,Kg,55.0,60.0,57.5
3390,Tomato Small(Local),2013-08-19,Kg,35.0,40.0,37.5
3459,Tomato Big(Nepali),2013-08-20,Kg,55.0,60.0,57.5
3460,Tomato Small(Local),2013-08-20,Kg,38.0,42.0,40.0
3530,Tomato Big(Nepali),2013-08-23,Kg,55.0,60.0,57.5
3531,Tomato Small(Local),2013-08-23,Kg,40.0,44.0,42.0
3601,Tomato Big(Nepali),2013-08-25,Kg,45.0,50.0,47.5
3602,Tomato Small(Local),2013-08-25,Kg,30.0,35.0,32.5
3672,Tomato Big(Nepali),2013-08-26,Kg,50.0,55.0,52.5
3673,Tomato Small(Local),2013-08-26,Kg,28.0,32.0,30.0
3743,Tomato Big(Nepali),2013-08-27,Kg,40.0,45.0,42.5
3744,Tomato Small(Local),2013-08-27,Kg,28.0,32.0,30.0
3813,Tomato Big(Nepali),2013-08-29,Kg,35.0,40.0,37.5
3814,Tomato Small(Local),2013-08-29,Kg,34.0,38.0,36.0
3882,Tomato Big(Nepali),2013-08-30,Kg,35.0,40.0,37.5
3883,Tomato Small(Local),2013-08-30,Kg,30.0,35.0,32.5
3953,Tomato Big(Nepali),2013-09-01,Kg,35.0,40.0,37.5
3954,Tomato Small(Local),2013-09-01,Kg,30.0,35.0,32.5
4021,Tomato Big(Nepali),2013-09-02,Kg,38.0,42.0,40.0
4022,Tomato Small(Local),2013-09-02,Kg,35.0,40.0,37.5
4090,Tomato Big(Nepali),2013-09-03,Kg,40.0,45.0,42.5
4091,Tomato Small(Local),2013-09-03,Kg,40.0,45.0,42.5
4157,Tomato Big(Nepali),2013-09-04,Kg,40.0,45.0,42.5
4158,Tomato Small(Local),2013-09-04,Kg,40.0,45.0,42.5
4227,Tomato Big(Nepali),2013-09-05,Kg,40.0,45.0,42.5
4228,Tomato Small(Local),2013-09-05,Kg,45.0,50.0,47.5
4297,Tomato Big(Nepali),2013-09-06,Kg,45.0,50.0,47.5
4298,Tomato Small(Local),2013-09-06,Kg,50.0,55.0,52.5
4367,Tomato Big(Nepali),2013-09-08,Kg,42.0,46.0,44.0
4368,Tomato Small(Local),2013-09-08,Kg,50.0,56.0,53.0
4438,Tomato Big(Nepali),2013-09-09,Kg,45.0,50.0,47.5
4439,Tomato Small(Local),2013-09-09,Kg,55.0,60.0,57.5
4509,Tomato Big(Nepali),2013-09-10,Kg,45.0,50.0,47.5
4510,Tomato Small(Local),2013-09-10,Kg,44.0,50.0,47.0
4580,Tomato Big(Nepali),2013-09-11,Kg,40.0,45.0,42.5
4581,Tomato Small(Local),2013-09-11,Kg,38.0,42.0,40.0
4651,Tomato Big(Nepali),2013-09-12,Kg,40.0,45.0,42.5
4652,Tomato Small(Local),2013-09-12,Kg,36.0,42.0,39.0
4721,Tomato Big(Nepali),2013-09-13,Kg,32.0,36.0,34.0
4722,Tomato Small(Local),2013-09-13,Kg,35.0,40.0,37.5
4790,Tomato Big(Nepali),2013-09-15,Kg,35.0,40.0,37.5
4791,Tomato Small(Local),2013-09-15,Kg,35.0,40.0,37.5
4859,Tomato Big(Nepali),2013-09-16,Kg,35.0,40.0,37.5
4860,Tomato Small(Local),2013-09-16,Kg,32.0,38.0,35.0
4929,Tomato Big(Nepali),2013-09-17,Kg,35.0,40.0,37.5
4930,Tomato Small(Local),2013-09-17,Kg,35.0,40.0,37.5
4999,Tomato Big(Nepali),2013-09-19,Kg,40.0,45.0,42.5
5000,Tomato Small(Local),2013-09-19,Kg,35.0,40.0,37.5
5069,Tomato Big(Nepali),2013-09-20,Kg,38.0,40.0,39.0
5070,Tomato Small(Local),2013-09-20,Kg,35.0,40.0,37.5
5138,Tomato Big(Nepali),2013-09-22,Kg,40.0,45.0,42.5
5139,Tomato Small(Local),2013-09-22,Kg,30.0,35.0,32.5
5209,Tomato Big(Nepali),2013-09-23,Kg,38.0,40.0,39.0
5210,Tomato Small(Local),2013-09-23,Kg,30.0,35.0,32.5
5280,Tomato Big(Nepali),2013-09-24,Kg,40.0,45.0,42.5
5281,Tomato Small(Local),2013-09-24,Kg,30.0,35.0,32.5
5352,Tomato Big(Nepali),2013-09-25,Kg,32.0,36.0,34.0
5353,Tomato Small(Local),2013-09-25,Kg,30.0,31.0,30.5
5423,Tomato Big(Nepali),2013-09-26,Kg,35.0,40.0,37.5
5424,Tomato Small(Local),2013-09-26,Kg,30.0,35.0,32.5
5494,Tomato Big(Nepali),2013-09-27,Kg,35.0,40.0,37.5
5495,Tomato Small(Local),2013-09-27,Kg,35.0,40.0,37.5
5566,Tomato Big(Nepali),2013-09-29,Kg,30.0,35.0,32.5
5567,Tomato Small(Local),2013-09-29,Kg,35.0,40.0,37.5
5639,Tomato Big(Nepali),2013-09-30,Kg,35.0,40.0,37.5
5640,Tomato Small(Local),2013-09-30,Kg,38.0,42.0,40.0
5710,Tomato Big(Nepali),2013-10-01,Kg,35.0,40.0,37.5
5711,Tomato Small(Local),2013-10-01,Kg,38.0,42.0,40.0
5782,Tomato Big(Nepali),2013-10-02,Kg,40.0,45.0,42.5
5783,Tomato Small(Local),2013-10-02,Kg,40.0,45.0,42.5
5856,Tomato Big(Nepali),2013-10-03,Kg,40.0,45.0,42.5
5857,Tomato Small(Local),2013-10-03,Kg,40.0,45.0,42.5
5929,Tomato Big(Nepali),2013-10-04,Kg,40.0,45.0,42.5
5930,Tomato Small(Local),2013-10-04,Kg,40.0,45.0,42.5
6003,Tomato Big(Nepali),2013-10-06,Kg,50.0,55.0,52.5
6004,Tomato Small(Local),2013-10-06,Kg,65.0,75.0,70.0
6075,Tomato Big(Nepali),2013-10-07,Kg,75.0,80.0,77.5
6076,Tomato Small(Local),2013-10-07,Kg,60.0,70.0,65.0
6150,Tomato Big(Nepali),2013-10-08,Kg,55.0,60.0,57.5
6151,Tomato Small(Local),2013-10-08,Kg,55.0,60.0,57.5
6225,Tomato Big(Nepali),2013-10-09,Kg,60.0,65.0,62.5
6226,Tomato Small(Local),2013-10-09,Kg,75.0,80.0,77.5
6300,Tomato Big(Nepali),2013-10-10,Kg,55.0,60.0,57.5
6301,Tomato Small(Local),2013-10-10,Kg,75.0,80.0,77.5
6375,Tomato Big(Nepali),2013-10-11,Kg,55.0,60.0,57.5
6376,Tomato Small(Local),2013-10-11,Kg,75.0,80.0,77.5
6450,Tomato Big(Nepali),2013-10-12,Kg,50.0,55.0,52.5
6451,Tomato Small(Local),2013-10-12,Kg,60.0,70.0,65.0
6520,Tomato Big(Nepali),2013-10-13,Kg,50.0,55.0,52.5
6521,Tomato Small(Local),2013-10-13,Kg,65.0,75.0,70.0
6559,Tomato Big(Nepali),2013-10-14,Kg,45.0,50.0,47.5
6560,Tomato Small(Local),2013-10-14,Kg,65.0,75.0,70.0
6595,Tomato Big(Nepali),2013-10-15,Kg,40.0,45.0,42.5
6596,Tomato Small(Local),2013-10-15,Kg,65.0,70.0,67.5
6631,Tomato Big(Nepali),2013-10-16,Kg,40.0,45.0,42.5
6632,Tomato Small(Local),2013-10-16,Kg,55.0,65.0,60.0
6696,Tomato Big(Nepali),2013-10-17,Kg,35.0,40.0,37.5
6697,Tomato Small(Local),2013-10-17,Kg,40.0,50.0,45.0
6764,Tomato Big(Nepali),2013-10-20,Kg,35.0,40.0,37.5
6765,Tomato Small(Local),2013-10-20,Kg,30.0,35.0,32.5
6837,Tomato Big(Nepali),2013-10-21,Kg,35.0,40.0,37.5
6838,Tomato Small(Local),2013-10-21,Kg,35.0,40.0,37.5
6909,Tomato Big(Nepali),2013-10-22,Kg,40.0,45.0,42.5
6910,Tomato Small(Local),2013-10-22,Kg,30.0,35.0,32.5
6980,Tomato Big(Nepali),2013-10-23,Kg,40.0,45.0,42.5
6981,Tomato Small(Local),2013-10-23,Kg,30.0,35.0,32.5
7049,Tomato Big(Nepali),2013-10-24,Kg,50.0,55.0,52.5
7050,Tomato Small(Local),2013-10-24,Kg,35.0,40.0,37.5
7119,Tomato Big(Nepali),2013-10-25,Kg,55.0,60.0,57.5
7120,Tomato Small(Local),2013-10-25,Kg,35.0,45.0,40.0
7191,Tomato Big(Nepali),2013-10-27,Kg,60.0,65.0,62.5
7192,Tomato Small(Local),2013-10-27,Kg,45.0,50.0,47.5
7263,Tomato Big(Nepali),2013-10-28,Kg,50.0,60.0,55.0
7264,Tomato Small(Local),2013-10-28,Kg,45.0,50.0,47.5
7336,Tomato Big(Nepali),2013-10-29,Kg,50.0,60.0,55.0
7337,Tomato Small(Local),2013-10-29,Kg,45.0,55.0,50.0
7410,Tomato Big(Nepali),2013-10-30,Kg,55.0,60.0,57.5
7411,Tomato Small(Local),2013-10-30,Kg,45.0,50.0,47.5
7484,Tomato Big(Nepali),2013-10-31,Kg,55.0,60.0,57.5
7485,Tomato Small(Local),2013-10-31,Kg,45.0,50.0,47.5
7556,Tomato Big(Nepali),2013-11-01,Kg,55.0,60.0,57.5
7557,Tomato Small(Local),2013-11-01,Kg,40.0,50.0,45.0
7630,Tomato Big(Nepali),2013-11-03,Kg,55.0,60.0,57.5
7701,Tomato Big(Nepali),2013-11-04,Kg,55.0,60.0,57.5
7702,Tomato Small(Local),2013-11-04,Kg,50.0,55.0,52.5
7775,Tomato Big(Nepali),2013-11-05,Kg,60.0,70.0,65.0
7776,Tomato Small(Local),2013-11-05,Kg,55.0,64.0,59.5
7830,Tomato Big(Nepali),2013-11-06,Kg,90.0,100.0,95.0
7831,Tomato Small(Local),2013-11-06,Kg,60.0,70.0,65.0
7877,Tomato Big(Nepali),2013-11-07,Kg,90.0,100.0,95.0
7878,Tomato Small(Local),2013-11-07,Kg,70.0,80.0,75.0
7942,Tomato Big(Nepali),2013-11-10,Kg,80.0,90.0,85.0
7943,Tomato Small(Local),2013-11-10,Kg,50.0,60.0,55.0
8008,Tomato Big(Nepali),2013-11-11,Kg,80.0,90.0,85.0
8009,Tomato Small(Local),2013-11-11,Kg,50.0,60.0,55.0
8069,Tomato Big(Nepali),2013-11-12,Kg,85.0,90.0,87.5
8070,Tomato Small(Local),2013-11-12,Kg,70.0,80.0,75.0
8132,Tomato Big(Nepali),2013-11-13,Kg,85.0,90.0,87.5
8133,Tomato Small(Local),2013-11-13,Kg,65.0,75.0,70.0
8196,Tomato Big(Nepali),2013-11-14,Kg,95.0,100.0,97.5
8197,Tomato Small(Local),2013-11-14,Kg,56.0,65.0,60.5
8259,Tomato Big(Nepali),2013-11-15,Kg,90.0,100.0,95.0
8260,Tomato Small(Local),2013-11-15,Kg,54.0,60.0,57.0
8324,Tomato Big(Nepali),2013-11-16,Kg,85.0,100.0,92.5
8325,Tomato Small(Local),2013-11-16,Kg,60.0,70.0,65.0
8390,Tomato Big(Nepali),2013-11-17,Kg,90.0,100.0,95.0
8391,Tomato Small(Local),2013-11-17,Kg,70.0,75.0,72.5
8454,Tomato Big(Nepali),2013-11-18,Kg,85.0,100.0,92.5
8455,Tomato Small(Local),2013-11-18,Kg,60.0,70.0,65.0
8519,Tomato Big(Nepali),2013-11-20,Kg,90.0,100.0,95.0
8520,Tomato Small(Local),2013-11-20,Kg,60.0,70.0,65.0
8581,Tomato Big(Nepali),2013-11-21,Kg,80.0,90.0,85.0
8582,Tomato Small(Local),2013-11-21,Kg,55.0,65.0,60.0
8649,Tomato Big(Nepali),2013-11-22,Kg,90.0,100.0,95.0
8650,Tomato Small(Local),2013-11-22,Kg,55.0,60.0,57.5
8720,Tomato Big(Nepali),2013-11-24,Kg,80.0,90.0,85.0
8721,Tomato Small(Local),2013-11-24,Kg,50.0,60.0,55.0
8790,Tomato Big(Nepali),2013-11-25,Kg,80.0,90.0,85.0
8791,Tomato Small(Local),2013-11-25,Kg,58.0,62.0,60.0
8859,Tomato Big(Nepali),2013-11-26,Kg,80.0,90.0,85.0
8860,Tomato Small(Local),2013-11-26,Kg,60.0,70.0,65.0
8928,Tomato Big(Nepali),2013-11-27,Kg,75.0,80.0,77.5
8929,Tomato Small(Local),2013-11-27,Kg,60.0,70.0,65.0
8997,Tomato Big(Nepali),2013-11-28,Kg,70.0,80.0,75.0
8998,Tomato Small(Local),2013-11-28,Kg,55.0,60.0,57.5
9066,Tomato Big(Nepali),2013-11-29,Kg,80.0,90.0,85.0
9067,Tomato Small(Local),2013-11-29,Kg,45.0,55.0,50.0
9138,Tomato Big(Nepali),2013-12-01,Kg,75.0,80.0,77.5
9139,Tomato Small(Local),2013-12-01,Kg,45.0,50.0,47.5
9210,Tomato Big(Nepali),2013-12-02,Kg,70.0,80.0,75.0
9211,Tomato Small(Local),2013-12-02,Kg,45.0,50.0,47.5
9280,Tomato Big(Nepali),2013-12-03,Kg,60.0,70.0,65.0
9281,Tomato Small(Local),2013-12-03,Kg,40.0,50.0,45.0
9353,Tomato Big(Nepali),2013-12-04,Kg,55.0,60.0,57.5
9354,Tomato Small(Local),2013-12-04,Kg,40.0,45.0,42.5
9425,Tomato Big(Nepali),2013-12-05,Kg,40.0,50.0,45.0
9426,Tomato Small(Local),2013-12-05,Kg,25.0,30.0,27.5
9497,Tomato Big(Nepali),2013-12-06,Kg,40.0,50.0,45.0
9498,Tomato Small(Local),2013-12-06,Kg,25.0,30.0,27.5
9569,Tomato Big(Nepali),2013-12-08,Kg,50.0,60.0,55.0
9570,Tomato Small(Local),2013-12-08,Kg,25.0,30.0,27.5
9640,Tomato Big(Nepali),2013-12-09,Kg,45.0,50.0,47.5
9641,Tomato Small(Local),2013-12-09,Kg,25.0,30.0,27.5
9713,Tomato Big(Nepali),2013-12-10,Kg,50.0,60.0,55.0
9714,Tomato Small(Local),2013-12-10,Kg,30.0,35.0,32.5
9786,Tomato Big(Nepali),2013-12-11,Kg,40.0,50.0,45.0
9787,Tomato Small(Local),2013-12-11,Kg,28.0,32.0,30.0
9856,Tomato Big(Nepali),2013-12-12,Kg,45.0,50.0,47.5
9857,Tomato Small(Local),2013-12-12,Kg,25.0,30.0,27.5
9927,Tomato Big(Nepali),2013-12-13,Kg,45.0,50.0,47.5
9928,Tomato Small(Local),2013-12-13,Kg,25.0,30.0,27.5
9998,Tomato Big(Nepali),2013-12-15,Kg,40.0,50.0,45.0
9999,Tomato Small(Local),2013-12-15,Kg,22.0,28.0,25.0
10070,Tomato Big(Nepali),2013-12-16,Kg,50.0,55.0,52.5
10071,Tomato Small(Local),2013-12-16,Kg,24.0,28.0,26.0
10142,Tomato Big(Nepali),2013-12-18,Kg,50.0,55.0,52.5
10143,Tomato Small(Local),2013-12-18,Kg,22.0,28.0,25.0
10217,Tomato Big(Nepali),2013-12-19,Kg,40.0,45.0,42.5
10218,Tomato Small(Local),2013-12-19,Kg,22.0,28.0,25.0
10291,Tomato Big(Nepali),2013-12-20,Kg,45.0,50.0,47.5
10292,Tomato Small(Local),2013-12-20,Kg,22.0,26.0,24.0
10366,Tomato Big(Nepali),2013-12-22,Kg,45.0,50.0,47.5
10367,Tomato Small(Local),2013-12-22,Kg,22.0,28.0,25.0
10439,Tomato Big(Nepali),2013-12-23,Kg,45.0,50.0,47.5
10440,Tomato Small(Local),2013-12-23,Kg,25.0,30.0,27.5
10516,Tomato Big(Nepali),2013-12-24,Kg,40.0,45.0,42.5
10517,Tomato Small(Local),2013-12-24,Kg,26.0,32.0,29.0
10593,Tomato Big(Nepali),2013-12-26,Kg,45.0,50.0,47.5
10594,Tomato Small(Local),2013-12-26,Kg,32.0,38.0,35.0
10668,Tomato Big(Nepali),2013-12-27,Kg,45.0,50.0,47.5
10669,Tomato Small(Local),2013-12-27,Kg,32.0,38.0,35.0
10742,Tomato Big(Nepali),2013-12-29,Kg,45.0,50.0,47.5
10743,Tomato Small(Local),2013-12-29,Kg,32.0,36.0,34.0
10819,Tomato Big(Nepali),2013-12-31,Kg,45.0,50.0,47.5
10820,Tomato Small(Local),2013-12-31,Kg,30.0,35.0,32.5
10896,Tomato Big(Nepali),2014-01-01,Kg,40.0,45.0,42.5
10897,Tomato Small(Local),2014-01-01,Kg,30.0,35.0,32.5
10974,Tomato Big(Nepali),2014-01-02,Kg,40.0,45.0,42.5
10975,Tomato Small(Local),2014-01-02,Kg,30.0,35.0,32.5
11052,Tomato Big(Nepali),2014-01-03,Kg,40.0,45.0,42.5
11053,Tomato Small(Local),2014-01-03,Kg,30.0,35.0,32.5
11129,Tomato Big(Nepali),2014-01-05,Kg,35.0,40.0,37.5
11130,Tomato Small(Local),2014-01-05,Kg,30.0,35.0,32.5
11205,Tomato Big(Nepali),2014-01-06,Kg,35.0,40.0,37.5
11206,Tomato Small(Local),2014-01-06,Kg,30.0,35.0,32.5
11282,Tomato Big(Nepali),2014-01-07,Kg,35.0,40.0,37.5
11283,Tomato Small(Local),2014-01-07,Kg,26.0,32.0,29.0
11360,Tomato Big(Nepali),2014-01-08,Kg,30.0,35.0,32.5
11361,Tomato Small(Local),2014-01-08,Kg,30.0,35.0,32.5
11437,Tomato Big(Nepali),2014-01-09,Kg,30.0,35.0,32.5
11438,Tomato Small(Local),2014-01-09,Kg,30.0,35.0,32.5
11515,Tomato Big(Nepali),2014-01-10,Kg,30.0,35.0,32.5
11516,Tomato Small(Local),2014-01-10,Kg,30.0,35.0,32.5
11592,Tomato Big(Nepali),2014-01-12,Kg,30.0,35.0,32.5
11593,Tomato Small(Local),2014-01-12,Kg,30.0,35.0,32.5
11669,Tomato Big(Nepali),2014-01-13,Kg,40.0,45.0,42.5
11670,Tomato Small(Local),2014-01-13,Kg,30.0,35.0,32.5
11746,Tomato Big(Nepali),2014-01-14,Kg,40.0,45.0,42.5
11747,Tomato Small(Local),2014-01-14,Kg,30.0,35.0,32.5
11823,Tomato Big(Nepali),2014-01-16,Kg,40.0,45.0,42.5
11824,Tomato Small(Local),2014-01-16,Kg,32.0,36.0,34.0
11899,Tomato Big(Nepali),2014-01-17,Kg,40.0,45.0,42.5
11900,Tomato Small(Local),2014-01-17,Kg,28.0,34.0,31.0
11975,Tomato Big(Nepali),2014-01-19,Kg,35.0,40.0,37.5
11976,Tomato Small(Local),2014-01-19,Kg,24.0,28.0,26.0
12051,Tomato Big(Nepali),2014-01-20,Kg,35.0,40.0,37.5
12052,Tomato Small(Local),2014-01-20,Kg,20.0,25.0,22.5
12128,Tomato Big(Nepali),2014-01-21,Kg,30.0,35.0,32.5
12129,Tomato Small(Local),2014-01-21,Kg,18.0,25.0,21.5
12205,Tomato Big(Nepali),2014-01-22,Kg,30.0,35.0,32.5
12206,Tomato Small(Local),2014-01-22,Kg,15.0,20.0,17.5
12280,Tomato Big(Nepali),2014-01-23,Kg,30.0,35.0,32.5
12281,Tomato Small(Local),2014-01-23,Kg,16.0,22.0,19.0
12355,Tomato Big(Nepali),2014-01-24,Kg,25.0,30.0,27.5
12356,Tomato Small(Local),2014-01-24,Kg,18.0,25.0,21.5
12430,Tomato Big(Nepali),2014-01-26,Kg,30.0,35.0,32.5
12431,Tomato Small(Local),2014-01-26,Kg,18.0,20.0,19.0
12503,Tomato Big(Nepali),2014-01-27,Kg,30.0,35.0,32.5
12504,Tomato Small(Local),2014-01-27,Kg,18.0,22.0,20.0
12577,Tomato Big(Nepali),2014-01-28,Kg,25.0,30.0,27.5
12578,Tomato Small(Local),2014-01-28,Kg,18.0,24.0,21.0
12651,Tomato Big(Nepali),2014-01-29,Kg,25.0,30.0,27.5
12652,Tomato Small(Local),2014-01-29,Kg,20.0,25.0,22.5
12726,Tomato Big(Nepali),2014-02-02,Kg,30.0,35.0,32.5
12727,Tomato Small(Local),2014-02-02,Kg,20.0,25.0,22.5
12802,Tomato Big(Nepali),2014-02-03,Kg,30.0,35.0,32.5
12803,Tomato Small(Local),2014-02-03,Kg,30.0,35.0,32.5
12877,Tomato Big(Nepali),2014-02-04,Kg,30.0,35.0,32.5
12878,Tomato Small(Local),2014-02-04,Kg,30.0,35.0,32.5
12952,Tomato Big(Nepali),2014-02-05,Kg,35.0,40.0,37.5
12953,Tomato Small(Local),2014-02-05,Kg,30.0,35.0,32.5
13027,Tomato Big(Nepali),2014-02-06,Kg,35.0,40.0,37.5
13028,Tomato Small(Local),2014-02-06,Kg,28.0,34.0,31.0
13099,Tomato Big(Nepali),2014-02-07,Kg,35.0,40.0,37.5
13100,Tomato Small(Local),2014-02-07,Kg,30.0,35.0,32.5
13170,Tomato Big(Nepali),2014-02-08,Kg,32.0,40.0,36.0
13171,Tomato Small(Local),2014-02-08,Kg,32.0,36.0,34.0
13196,Tomato Big(Nepali),2014-02-09,Kg,35.0,40.0,37.5
13197,Tomato Small(Local),2014-02-09,Kg,30.0,35.0,32.5
13271,Tomato Big(Nepali),2014-02-10,Kg,30.0,35.0,32.5
